"130 pounds"
"150 pounds"
"150 pounds"
"182 pounds"
"172 pounds"
"135 pounds"
"125 pounds"
"111 pounds"
"113 pounds"
"95 pounds"
"180 pounds"
"125 pounds"
"135 pounds"
"144 pounds"
"146 pounds"
"178 pounds"
"190 pounds"
"200 pounds"
"205 pounds"
"165 pounds"
"163 pounds"
"170 pounds"
"130 pounds"
"123 pounds"
"111 pounds"
"116 pounds"
"114 pounds"
"104 pounds"
"128 pounds"
"129 pounds"
"165 pounds"
"155 pounds"
"140 pounds"
"143 pounds"
"146 pounds"
"158 pounds"
"167 pounds"
"158 pounds"
"135 pounds"
"132 pounds"
"133 pounds"
"175 pounds"
"80 pounds"
"85 pounds"
"180 pounds"
"155 pounds"
"166 pounds"
"123 pounds"
"122 pounds"
"127 pounds"
"126 pounds"
"128 pounds"
"196 pounds"
"124 pounds"
"168 pounds"
"175 pounds"
"177 pounds"
"153 pounds"
"155 pounds"
"145 pounds"
"165 pounds"
"125 pounds"
"122 pounds"
"123 pounds"
"127 pounds"
"122 pounds"
"188 pounds"
"168 pounds"
"165 pounds"
"198 pounds"
"250 pounds"
"222 pounds"
"223 pounds"
"175 pounds"
"173 pounds"
"154 pounds"
"165 pounds"
"135 pounds"
"165 pounds"
"134 pounds"
"145 pounds"
"144 pounds"
"146 pounds"
"174 pounds"
"115 pounds"
"119 pounds"
"118 pounds"
"111 pounds"
"110 pounds"
"146 pounds"
"114 pounds"
"113 pounds"
"112 pounds"
"118 pounds"
"125 pounds"
"122 pounds"
"146 pounds"
"129 pounds"
"125 pounds"
"65 pounds"
"188 pounds"
"206 pounds"
"215 pounds"
"225 pounds"
"137 pounds"
"133 pounds"
"129 pounds"
"125 pounds"
"115 pounds"
"159 pounds"
"175 pounds"
"135 pounds"
"126 pounds"
